CollegeName,State Name
"AHALIA SCHOOL OF ENGINEERING & TECHNOLOGY, KOZHIPPARA (Id: C-43284",Kerala
"Ahmednagar Jilha Maratha Vidya Prasarak Samaj's Ahmednagar Shri.Chhatrapati Shivaji Maharaj College of Engineering, Nepti, Address: Nepti Nagar Kalyan Road, Ahmednagar, Taluka: Ahmednagar, District: Ahmednagar (Id: C-42126",Maharashtra
"Ahmednagar Jilha Maratha Vidya Prasarak Samajs Institute of Hotel Management and Catering Technology, Ahmednagar 414001 (Id: C-42011",Maharashtra
"AIMS College of Management & Technology, Bakrol (Id: C-1226",Gujarat
"AIR FORCE TECHNICAL COLLEGE, BANGALORE (Id: C-47267",Karnataka
"AISECT Institute of Science & Technology, Chiklod Road, Near Bangrasiya Chouhraha, Gram Memdua, District Raisen-464993 (Id: C-36048",Madhya Pradesh
"AISHWARYA COLLEGE OF ENGINEERING AND TECHNOLOGY, ERODE (Id: C-45289",Tamil Nadu
Aishwarya Institute of Management & Information Technology (Id: C-25251,Rajasthan
Aizza College of Engineering & Technology (Id: C-19936,Telangana
"Ajay Binay Institute of Technology Piloo Modi College of Architecture (ABIT-PMCA), Cuttack (Id: C-30078",Odisha
"Ajay Binay Institute of Technology, (ABIT), Cuttack (Id: C-30181",Odisha
"AJAY KUMAR GARG ENGINEERING COLLEGE, GHAZIABAD (Id: C-46109",Uttar Pradesh
"Ajmer Institute of Technology,Ajmer (Id: C-25134",Rajasthan
"Akal College of Pharmacy and Technical Education, Mastuana (Id: C-10483",Punjab
Akashdeep Institute of Management & Technology (Id: C-25153,Rajasthan
"Akido College of Engineering, Sahpur (Id: C-28155",Haryana
"Akola College of Management Science & Technology, Akola (Id: C-43121",Maharashtra
"AKOLE TALUKA EDUCATION SOCIETYS TECHNICAL CAMPUS, AHMEDNAGAR (Id: C-45865",Maharashtra
Akruti City Gold Institute of Technology (Id: C-5807,Gujarat
Akshaya Bharathi Institute of Technology Siddavatam (P&M) (Id: C-26967,Andhra Pradesh
Akshaya College of Engineering and Technology (Id: C-36985,Tamil Nadu
"Akshaya Institute of Technology, TUMKUR DIST (Id: C-1287",Karnataka
Aksheyaa College of Engineering (Id: C-16574,Tamil Nadu
"Akula Gopayya College of Engineering & Technology, Nh-5, Y-Junction, Prathiapadu, Tadepalligudem, PIN -534146 (CC-G5) (Id: C-18127",Andhra Pradesh
"Akula Manikyam College of Engineering & Technology, (CC-7F) (Id: C-18140",Andhra Pradesh
"Akula Sree Ramulu College of Engineering, Beside NH-5, By pass Road, Tetali, Tanuku, PIN -534211(CC-53) (Id: C-18091",Andhra Pradesh
"AL AMEEN ENGINEERING COLLEGE, KULAPPULLI (Id: C-43295",Kerala
"AL HAAJ A R SANI INSTITUTE OF MANAGEMENT AND TECHNOLOGY, MATHURA (Id: C-46952",Uttar Pradesh
"Al-aman College of Engineering, Gudilova (Village), Anandapuram (Mandal) Pin-531173 (CC-GJ) (Id: C-18073",Andhra Pradesh
"Al-Ameen Educational & Medical Foundations College of Engineering, Pune (Id: C-41835",Maharashtra
Al-Ameen Engineering College (Id: C-36951,Tamil Nadu
"Al-Ameer College of Engineering & Information Technology, Gudilova(Vil), Anandapuram(M), PIN-531173 (CC-B1) (Id: C-18119",Andhra Pradesh
"Alard Charitable Trusts Alard College of Engineering & Management,Pune (Id: C-42123",Maharashtra
"Al-Azhar College of Engineering & Technology, Perumpillichira, Thodupuzha (Id: C-11801",Kerala
"ALBERTAIN INSTITUTE OF SCIENCE & TECHNOLGY, TECHNICAL CAMPUS, ANGEL MARY NAGAR, COCHIN UNIVERSITY (Id: C-48168",Kerala
"Alfa College of Engineering & Technology.Allagadda -518543,Kurnool (Id: C-26953",Andhra Pradesh
Al-Habeeb College of Engineering & Technology (Id: C-19840,Telangana
Alice Institute of Technology (Id: C-43262,Jharkhand
"ALIGARH COLLEGE OF ENGINEERING AND TECHNOLOGY, ALIGARH (Id: C-15244",Uttar Pradesh
"ALIGARH COLLEGE OF ENGINEERING AND TECHNOLOGY, ALIGARH (Id: C-46346",Uttar Pradesh
"All India Shivaji Memorial Societys College of Engineering for women, Pune (Id: C-41410",Maharashtra
"All India Shivaji Memorial Societys College of Engineering, Pune (Id: C-41227",Maharashtra
"All India Shivaji Memorial Societys Institute of Hotel Management and Catering Technology, Shivajinagar, Pune 411005 (Id: C-41490",Maharashtra
"All Saints College of Engineering, Gram Pipalner, Bhopal - 462036 (Id: C-36024",Madhya Pradesh
"All Saints College of Technology, Jaipur Jabalpur, NH-12, Gandhi Nagar, Bhopal-462031 "" (Id: C-36271",Madhya Pradesh
"ALLAHABAD INSTITUTE OF ENGINEERING AND TECHNOLOGY, ALLAHABAD (Id: C-46667",Uttar Pradesh
"ALLENHOUSE INSTITUTE OF TECHNOLOGY, KANPUR (Id: C-46813",Uttar Pradesh
Alpha College of Engineering & Technology (Id: C-6500,Puducherry
Alpha College of Engineering (Id: C-16474,Tamil Nadu
"Alpha College of Engineering, BANGALORE (Id: C-1259",Karnataka
"Alpine Institute of Technology, Gram Chandesara, Dewas Road, Ujjain (Id: C-36139",Madhya Pradesh
"Alvas Institute of Engineering and Technology, MOODBIDRI (Id: C-1284",Karnataka
Alwar Institute of Engineering & Technology (Id: C-25277,Rajasthan
